fen,evaluation
1R6/8/3B1pk1/1K4p1/6Pp/3r3P/5P2/8 w - - 0 50,188
1R6/8/2KB1pk1/6p1/6Pp/3r3P/5P2/8 b - - 1 50,208
1R6/8/2KB1pk1/6p1/6Pp/7r/5P2/8 w - - 0 51,222
1R6/8/3B1pk1/3K2p1/6Pp/7r/5P2/8 b - - 1 51,243
1R6/8/3B1pk1/3K2p1/6Pp/5r2/5P2/8 w - - 2 52,268
1R6/8/3BKpk1/6p1/6Pp/5r2/5P2/8 b - - 3 52,286
1R6/8/3BKpk1/6p1/6Pp/8/5r2/8 w - - 0 53,293
6R1/8/3BKpk1/6p1/6Pp/8/5r2/8 b - - 1 53,315
6R1/7k/3BKp2/6p1/6Pp/8/5r2/8 w - - 2 54,314
6R1/5K1k/3B1p2/6p1/6Pp/8/5r2/8 b - - 3 54,320
6R1/5K1k/3B1p2/6p1/6Pp/8/r7/8 w - - 4 55,441
8/5KRk/3B1p2/6p1/6Pp/8/r7/8 b - - 5 55,410
8/5KR1/3B1p1k/6p1/6Pp/8/r7/8 w - - 6 56,502
5B2/5KR1/5p1k/6p1/6Pp/8/r7/8 b - - 7 56,648
5B2/r4KR1/5p1k/6p1/6Pp/8/8/8 w - - 8 57,648
5B2/r5R1/5K1k/6p1/6Pp/8/8/8 b - - 0 57,663
5B2/6R1/r4K1k/6p1/6Pp/8/8/8 w - - 1 58,664
5B2/5KR1/r6k/6p1/6Pp/8/8/8 b - - 2 58,665
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,34
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,36
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,38
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,45
r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,30
r1bqkbnr/pp1ppppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,33
r1bqkbnr/pp1ppppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,43
r1bqkbnr/pp1p1ppp/2n1p3/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5,43
r1bqkbnr/pp1p1ppp/2n1p3/1N6/4P3/8/PPP2PPP/RNBQKB1R b KQkq - 1 5,48
r1bqkbnr/pp3ppp/2npp3/1N6/4P3/8/PPP2PPP/RNBQKB1R w KQkq - 0 6,49
r1bqkbnr/pp3ppp/2npp3/1N6/2P1P3/8/PP3PPP/RNBQKB1R b KQkq - 0 6,47
r1bqkb1r/pp3ppp/2nppn2/1N6/2P1P3/8/PP3PPP/RNBQKB1R w KQkq - 1 7,50
r1bqkb1r/pp3ppp/2nppn2/8/2P1P3/2N5/PP3PPP/RNBQKB1R b KQkq - 2 7,35
r1bqk2r/pp2bppp/2nppn2/8/2P1P3/2N5/PP3PPP/RNBQKB1R w KQkq - 3 8,26
r1bqk2r/pp2bppp/2nppn2/8/2P1P3/2N3P1/PP3P1P/RNBQKB1R b KQkq - 0 8,18
r1bq1rk1/pp2bppp/2nppn2/8/2P1P3/2N3P1/PP3P1P/RNBQKB1R w KQ - 1 9,18
r1bq1rk1/pp2bppp/2nppn2/8/2P1P3/2N3P1/PP3PBP/RNBQK2R b KQ - 2 9,16
r1bq1rk1/1p2bppp/p1nppn2/8/2P1P3/2N3P1/PP3PBP/RNBQK2R w KQ - 0 10,34
r1bq1rk1/1p2bppp/p1nppn2/8/2P1P3/2N3P1/PP3PBP/RNBQ1RK1 b - - 1 10,37
1rbq1rk1/1p2bppp/p1nppn2/8/2P1P3/2N3P1/PP3PBP/RNBQ1RK1 w - - 2 11,26
1rbq1rk1/1p2bppp/p1nppn2/8/2P1P3/N1N3P1/PP3PBP/R1BQ1RK1 b - - 3 11,24
1rb2rk1/1pq1bppp/p1nppn2/8/2P1P3/N1N3P1/PP3PBP/R1BQ1RK1 w - - 4 12,57
1rb2rk1/1pq1bppp/p1nppn2/8/2P1P3/N1N1B1P1/PP3PBP/R2Q1RK1 b - - 5 12,48
1r3rk1/1pqbbppp/p1nppn2/8/2P1P3/N1N1B1P1/PP3PBP/R2Q1RK1 w - - 6 13,57
1r3rk1/1pqbbppp/p1nppn2/8/2P1P3/N1N1B1P1/PP3PBP/2RQ1RK1 b - - 7 13,59
1r3rk1/1pqbbppp/p2ppn2/4n3/2P1P3/N1N1B1P1/PP3PBP/2RQ1RK1 w - - 8 14,78
1r3rk1/1pqbbppp/p2ppn2/4n3/2P1P3/N1N1B1PP/PP3PB1/2RQ1RK1 b - - 0 14,62
1rr3k1/1pqbbppp/p2ppn2/4n3/2P1P3/N1N1B1PP/PP3PB1/2RQ1RK1 w - - 1 15,56
1rr3k1/1pqbbppp/p2ppn2/4n3/2P1PP2/N1N1B1PP/PP4B1/2RQ1RK1 b - - 0 15,55
1rr3k1/1pqbbppp/p2ppnn1/8/2P1PP2/N1N1B1PP/PP4B1/2RQ1RK1 w - - 1 16,53
1rr3k1/1pqbbppp/p2ppnn1/8/2P1PP2/N1N1B1PP/PP1Q2B1/2R2RK1 b - - 2 16,56
1rr1b1k1/1pq1bppp/p2ppnn1/8/2P1PP2/N1N1B1PP/PP1Q2B1/2R2RK1 w - - 3 17,59
1rr1b1k1/1pq1bppp/p2ppnn1/8/2P1PP2/N1N1B1PP/PP1Q2B1/2RR2K1 b - - 4 17,58
1rr1b1k1/2q1bppp/pp1ppnn1/8/2P1PP2/N1N1B1PP/PP1Q2B1/2RR2K1 w - - 0 18,61
1rr1b1k1/2q1bppp/pp1ppnn1/8/2P1PP2/N1N1B1PP/PP3QB1/2RR2K1 b - - 1 18,30
1rr1b1k1/2q1bpp1/pp1ppnnp/8/2P1PP2/N1N1B1PP/PP3QB1/2RR2K1 w - - 0 19,54
1rr1b1k1/2q1bpp1/pp1ppnnp/8/2P1PP2/N1N1B1PP/PP3QBK/2RR4 b - - 1 19,22
1rr1b1k1/q3bpp1/pp1ppnnp/8/2P1PP2/N1N1B1PP/PP3QBK/2RR4 w - - 2 20,52
1rr1b1k1/q3bpp1/pp1ppnnp/8/2P1PP2/N1N1B1PP/PP2Q1BK/2RR4 b - - 3 20,50
1rr1b1k1/2q1bpp1/pp1ppnnp/8/2P1PP2/N1N1B1PP/PP2Q1BK/2RR4 w - - 4 21,52
1rr1b1k1/2q1bpp1/pp1ppnnp/8/2P1PP2/N1N1BBPP/PP2Q2K/2RR4 b - - 5 21,33
1rr3k1/2q1bpp1/ppbppnnp/8/2P1PP2/N1N1BBPP/PP2Q2K/2RR4 w - - 6 22,29
1rr3k1/2q1bpp1/ppbppnnp/8/2P1PP2/2N1BBPP/PP2Q2K/1NRR4 b - - 7 22,-11
1rr3k1/1q2bpp1/ppbppnnp/8/2P1PP2/2N1BBPP/PP2Q2K/1NRR4 w - - 8 23,-16
1rr3k1/1q2bpp1/ppbppnnp/8/2P1PP2/2N1BBPP/PP1NQ2K/2RR4 b - - 9 23,-14
1rr3k1/1q2bpp1/p1bppnnp/1p6/2P1PP2/2N1BBPP/PP1NQ2K/2RR4 w - - 0 24,-22
1rr3k1/1q2bpp1/p1bppnnp/1P6/4PP2/2N1BBPP/PP1NQ2K/2RR4 b - - 0 24,-30
1rr3k1/1q2bpp1/2bppnnp/1p6/4PP2/2N1BBPP/PP1NQ2K/2RR4 w - - 0 25,-32
1rr3k1/1q2bpp1/2bppnnp/1p6/1P2PP2/2N1BBPP/P2NQ2K/2RR4 b - - 0 25,-30
qrr3k1/4bpp1/2bppnnp/1p6/1P2PP2/2N1BBPP/P2NQ2K/2RR4 w - - 1 26,-43
qrr3k1/4bpp1/2bppnnp/1p6/1P2PP2/2N1BBPP/P1RNQ2K/3R4 b - - 2 26,-51
qrr3k1/4bpp1/2b1pnnp/1p1p4/1P2PP2/2N1BBPP/P1RNQ2K/3R4 w - - 0 27,-53
qrr3k1/4bpp1/2b1pnnp/1p1pP3/1P3P2/2N1BBPP/P1RNQ2K/3R4 b - - 0 27,-92
qrr3k1/4bpp1/2b1p1np/1p1pP3/1P2nP2/2N1BBPP/P1RNQ2K/3R4 w - - 1 28,-56
qrr3k1/4bpp1/2b1p1np/1p1pP3/1P2BP2/2N1B1PP/P1RNQ2K/3R4 b - - 0 28,-69
qrr3k1/4bpp1/2b1p1np/1p2P3/1P2pP2/2N1B1PP/P1RNQ2K/3R4 w - - 0 29,-57
qrr3k1/4bpp1/2b1p1np/1pB1P3/1P2pP2/2N3PP/P1RNQ2K/3R4 b - - 1 29,-81
qrr3k1/5pp1/2b1p1np/1pb1P3/1P2pP2/2N3PP/P1RNQ2K/3R4 w - - 0 30,-59
qrr3k1/5pp1/2b1p1np/1pP1P3/4pP2/2N3PP/P1RNQ2K/3R4 b - - 0 30,-75
qr1r2k1/5pp1/2b1p1np/1pP1P3/4pP2/2N3PP/P1RNQ2K/3R4 w - - 1 31,-90
qr1r2k1/5pp1/2b1p1np/1pP1P3/4pP2/2N3PP/P1RNQ2K/4R3 b - - 2 31,-110
qr1r2k1/4npp1/2b1p2p/1pP1P3/4pP2/2N3PP/P1RNQ2K/4R3 w - - 3 32,-35
qr1r2k1/4npp1/2b1p2p/1pP1P3/4NP2/6PP/P1RNQ2K/4R3 b - - 0 32,-24
qr1r2k1/5pp1/2b1p2p/1pP1Pn2/4NP2/6PP/P1RNQ2K/4R3 w - - 1 33,-16
qr1r2k1/5pp1/2b1p2p/1pP1Pn2/4NP2/1N4PP/P1R1Q2K/4R3 b - - 2 33,-21
qr1r2k1/5pp1/2b1p2p/1pP1P3/3nNP2/1N4PP/P1R1Q2K/4R3 w - - 3 34,-8
qr1r2k1/5pp1/2b1p2p/1pP1P3/3NNP2/6PP/P1R1Q2K/4R3 b - - 0 34,-8
qr4k1/5pp1/2b1p2p/1pP1P3/3rNP2/6PP/P1R1Q2K/4R3 w - - 0 35,-7
qr4k1/5pp1/2bNp2p/1pP1P3/3r1P2/6PP/P1R1Q2K/4R3 b - - 1 35,-14
1r4k1/5pp1/2bNp2p/1pP1P3/q2r1P2/6PP/P1R1Q2K/4R3 w - - 2 36,1
1r4k1/5pp1/2bNp2p/1pP1PP2/q2r4/6PP/P1R1Q2K/4R3 b - - 0 36,-40
r5k1/5pp1/2bNp2p/1pP1PP2/q2r4/6PP/P1R1Q2K/4R3 w - - 1 37,34
r5k1/5pp1/2bNp2p/1pP1PP2/q2r4/6PP/PR2Q2K/4R3 b - - 2 37,1
r5k1/5pp1/2bNp2p/1pP1PP2/3r4/q5PP/PR2Q2K/4R3 w - - 3 38,34
r5k1/5pp1/2bNP2p/1pP1P3/3r4/q5PP/PR2Q2K/4R3 b - - 0 38,45
r5k1/6p1/2bNp2p/1pP1P3/3r4/q5PP/PR2Q2K/4R3 w - - 0 39,35
r5k1/6p1/2b1p2p/1NP1P3/3r4/q5PP/PR2Q2K/4R3 b - - 0 39,35
r5k1/6p1/4p2p/1bP1P3/3r4/q5PP/PR2Q2K/4R3 w - - 0 40,53
r5k1/6p1/4p2p/1QP1P3/3r4/q5PP/PR5K/4R3 b - - 0 40,39
r5k1/6p1/4p2p/1QP1P3/8/q2r2PP/PR5K/4R3 w - - 1 41,34
r5k1/6p1/4p2p/1QP1P3/8/q2r2PP/P5RK/4R3 b - - 2 41,33
r5k1/6p1/4p2p/1QP1P3/8/2qr2PP/P5RK/4R3 w - - 3 42,33
r5k1/6p1/4p2p/1QP1P3/8/2qr2PP/P3R1RK/8 b - - 4 42,15
6k1/6p1/4p2p/1QP1P3/8/r1qr2PP/P3R1RK/8 w - - 5 43,3
6k1/6p1/4p2p/1QP1P3/8/r1qr2PP/P1R3RK/8 b - - 6 43,1
6k1/6p1/4p2p/1QP1q3/8/r2r2PP/P1R3RK/8 w - - 0 44,14
6k1/6p1/4p2p/1QP1q3/8/r2r2PP/P3R1RK/8 b - - 1 44,0
6k1/6p1/4p2p/1QP1q3/8/r3r1PP/P3R1RK/8 w - - 2 45,0
6k1/6p1/4p2p/1QP1q3/8/r3R1PP/P5RK/8 b - - 0 45,0
6k1/6p1/4p2p/1QP1q3/8/4r1PP/P5RK/8 w - - 0 46,0
6k1/6p1/4p2p/1QP1q3/P7/4r1PP/6RK/8 b - - 0 46,0
6k1/6p1/4p2p/1QP1q3/P7/2r3PP/6RK/8 w - - 1 47,21
6k1/6p1/2P1p2p/1Q2q3/P7/2r3PP/6RK/8 b - - 0 47,20
6k1/6p1/2Pqp2p/1Q6/P7/2r3PP/6RK/8 w - - 1 48,24
6k1/2P3p1/3qp2p/1Q6/P7/2r3PP/6RK/8 b - - 0 48,22
6k1/2r3p1/3qp2p/1Q6/P7/6PP/6RK/8 w - - 0 49,61
1Q4k1/2r3p1/3qp2p/8/P7/6PP/6RK/8 b - - 1 49,45
1Q6/2r3pk/3qp2p/8/P7/6PP/6RK/8 w - - 2 50,28
1Q6/2r3pk/3qp2p/P7/8/6PP/6RK/8 b - - 0 50,35
1Q6/2r3pk/3qp3/P6p/8/6PP/6RK/8 w - - 0 51,35
1Q6/2r3pk/3qp3/P6p/7P/6P1/6RK/8 b - - 0 51,26
1Q6/2r3pk/4p3/P1q4p/7P/6P1/6RK/8 w - - 1 52,69
1Q6/2r3pk/P3p3/2q4p/7P/6P1/6RK/8 b - - 0 52,45
1Q6/5rpk/P3p3/2q4p/7P/6P1/6RK/8 w - - 1 53,101
8/5rpk/P3p3/2q4p/7P/6P1/6RK/1Q6 b - - 2 53,93
8/5rp1/P3p2k/2q4p/7P/6P1/6RK/1Q6 w - - 3 54,108
8/5rp1/P3p2k/2q4p/7P/6P1/Q5RK/8 b - - 4 54,57
8/4r1p1/P3p2k/2q4p/7P/6P1/Q5RK/8 w - - 5 55,175
8/4r1p1/P3p2k/2q4p/7P/6P1/3Q2RK/8 b - - 6 55,226
8/4r1p1/P3p1k1/2q4p/7P/6P1/3Q2RK/8 w - - 7 56,231
8/4r1p1/P3p1k1/2q4p/7P/6P1/3QR2K/8 b - - 8 56,156
8/4r1pk/P3p3/2q4p/7P/6P1/3QR2K/8 w - - 9 57,263
8/4r1pk/P3p3/2q4p/7P/6P1/2Q1R2K/8 b - - 10 57,337
8/4r1pk/P3p3/7p/7P/6P1/2q1R2K/8 w - - 0 58,364
8/4r1pk/P3p3/7p/7P/6P1/2R4K/8 b - - 0 58,350
8/4r1p1/P3p1k1/7p/7P/6P1/2R4K/8 w - - 1 59,290
8/4r1p1/P3p1k1/7p/7P/6P1/R6K/8 b - - 2 59,301
8/r5p1/P3p1k1/7p/7P/6P1/R6K/8 w - - 3 60,317
8/r5p1/P3p1k1/R6p/7P/6P1/7K/8 b - - 4 60,302
8/r5p1/P5k1/R3p2p/7P/6P1/7K/8 w - - 0 61,359
8/r5p1/P5k1/R3p2p/7P/6P1/6K1/8 b - - 1 61,373
8/r5p1/P4k2/R3p2p/7P/6P1/6K1/8 w - - 2 62,320
8/r5p1/P4k2/R3p2p/7P/6P1/5K2/8 b - - 3 62,377
8/r5p1/P3k3/R3p2p/7P/6P1/5K2/8 w - - 4 63,373
8/r5p1/P3k3/R3p2p/7P/4K1P1/8/8 b - - 5 63,381
8/r5p1/P7/R3pk1p/7P/4K1P1/8/8 w - - 6 64,396
8/r5p1/P7/R3pk1p/7P/5KP1/8/8 b - - 7 64,389
8/r7/P5p1/R3pk1p/7P/5KP1/8/8 w - - 0 65,380
8/r7/P5p1/4pk1p/7P/R4KP1/8/8 b - - 1 65,372
8/r7/P7/4pkpp/7P/R4KP1/8/8 w - - 0 66,313
8/r7/P7/4pkPp/8/R4KP1/8/8 b - - 0 66,333
8/r7/P7/4p1kp/8/R4KP1/8/8 w - - 0 67,322
8/r7/P7/4p1kp/4K3/R5P1/8/8 b - - 1 67,371
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,33
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,34
rnbqkbnr/pp1ppppp/8/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2,23
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 3,36
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2N5/PPPPNPPP/R1BQKB1R b KQkq - 3 3,41
r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/2N5/PPPPNPPP/R1BQKB1R w KQkq - 0 4,46
r1bqkbnr/pp1p1ppp/2n1p3/2p5/3PP3/2N5/PPP1NPPP/R1BQKB1R b KQkq - 0 4,43
r1bqkbnr/pp1p1ppp/2n1p3/8/3pP3/2N5/PPP1NPPP/R1BQKB1R w KQkq - 0 5,46
r1bqkbnr/pp1p1ppp/2n1p3/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 5,52
r1bqkbnr/pp3ppp/2npp3/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,58
r1bqkbnr/pp3ppp/2npp3/8/3NP3/2N1B3/PPP2PPP/R2QKB1R b KQkq - 1 6,65
r1bqkb1r/pp3ppp/2nppn2/8/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq - 2 7,67
r1bqkb1r/pp3ppp/2nppn2/8/3NP3/2N1B3/PPPQ1PPP/R3KB1R b KQkq - 3 7,65
r1bqk2r/pp2bppp/2nppn2/8/3NP3/2N1B3/PPPQ1PPP/R3KB1R w KQkq - 4 8,63
r1bqk2r/pp2bppp/2nppn2/8/3NP3/2N1BP2/PPPQ2PP/R3KB1R b KQkq - 0 8,65
r1bqk2r/1p2bppp/p1nppn2/8/3NP3/2N1BP2/PPPQ2PP/R3KB1R w KQkq - 0 9,87
r1bqk2r/1p2bppp/p1nppn2/8/3NP3/2N1BP2/PPPQ2PP/2KR1B1R b kq - 1 9,90
r1bq1rk1/1p2bppp/p1nppn2/8/3NP3/2N1BP2/PPPQ2PP/2KR1B1R w - - 2 10,84
r1bq1rk1/1p2bppp/p1nppn2/8/3NP1P1/2N1BP2/PPPQ3P/2KR1B1R b - - 0 10,83
r1bq1rk1/1p2bppp/p2ppn2/8/3nP1P1/2N1BP2/PPPQ3P/2KR1B1R w - - 0 11,85
r1bq1rk1/1p2bppp/p2ppn2/8/3BP1P1/2N2P2/PPPQ3P/2KR1B1R b - - 0 11,82
r1bq1rk1/4bppp/p2ppn2/1p6/3BP1P1/2N2P2/PPPQ3P/2KR1B1R w - - 0 12,92
r1bq1rk1/4bppp/p2ppn2/1p4P1/3BP3/2N2P2/PPPQ3P/2KR1B1R b - - 0 12,63
r1bq1rk1/3nbppp/p2pp3/1p4P1/3BP3/2N2P2/PPPQ3P/2KR1B1R w - - 1 13,65
r1bq1rk1/3nbppp/p2pp3/1p4P1/3BP2P/2N2P2/PPPQ4/2KR1B1R b - - 0 13,66
r1bq1rk1/3nbppp/p2pp3/6P1/1p1BP2P/2N2P2/PPPQ4/2KR1B1R w - - 0 14,69
r1bq1rk1/3nbppp/p2pp3/6P1/Np1BP2P/5P2/PPPQ4/2KR1B1R b - - 1 14,55
r2q1rk1/1b1nbppp/p2pp3/6P1/Np1BP2P/5P2/PPPQ4/2KR1B1R w - - 2 15,39
r2q1rk1/1b1nbppp/pN1pp3/6P1/1p1BP2P/5P2/PPPQ4/2KR1B1R b - - 3 15,112
1r1q1rk1/1b1nbppp/pN1pp3/6P1/1p1BP2P/5P2/PPPQ4/2KR1B1R w - - 4 16,147
1r1q1rk1/1b1Nbppp/p2pp3/6P1/1p1BP2P/5P2/PPPQ4/2KR1B1R b - - 0 16,156
1r3rk1/1b1qbppp/p2pp3/6P1/1p1BP2P/5P2/PPPQ4/2KR1B1R w - - 0 17,155
1r3rk1/1b1qbppp/p2pp3/6P1/1p1BP2P/5P2/PPPQ4/1K1R1B1R b - - 1 17,155
1r3rk1/1bq1bppp/p2pp3/6P1/1p1BP2P/5P2/PPPQ4/1K1R1B1R w - - 2 18,165
1r3rk1/1bq1bppp/p2pp3/6P1/1p1BP2P/3B1P2/PPPQ4/1K1R3R b - - 3 18,153
1rb2rk1/2q1bppp/p2pp3/6P1/1p1BP2P/3B1P2/PPPQ4/1K1R3R w - - 4 19,151
1rb2rk1/2q1bppp/p2pp3/6PP/1p1BP3/3B1P2/PPPQ4/1K1R3R b - - 0 19,171
1rb2rk1/2q1bppp/p2p4/4p1PP/1p1BP3/3B1P2/PPPQ4/1K1R3R w - - 0 20,158
1rb2rk1/2q1bppp/p2p4/4p1PP/1p2P3/3BBP2/PPPQ4/1K1R3R b - - 1 20,158
1r3rk1/2q1bppp/p2pb3/4p1PP/1p2P3/3BBP2/PPPQ4/1K1R3R w - - 2 21,178
1r3rk1/2q1bppp/p2pb3/4p1PP/1p2P3/3BBP2/PPPQ4/1K4RR b - - 3 21,188
1r3rk1/2q1bppp/3pb3/p3p1PP/1p2P3/3BBP2/PPPQ4/1K4RR w - - 0 22,193
1r3rk1/2q1bppp/3pb1P1/p3p2P/1p2P3/3BBP2/PPPQ4/1K4RR b - - 0 22,198
1r3rk1/2q2ppp/3pbbP1/p3p2P/1p2P3/3BBP2/PPPQ4/1K4RR w - - 1 23,189
1r3rk1/2q2ppP/3pbb2/p3p2P/1p2P3/3BBP2/PPPQ4/1K4RR b - - 0 23,181
1r3r1k/2q2ppP/3pbb2/p3p2P/1p2P3/3BBP2/PPPQ4/1K4RR w - - 1 24,183
1r3r1k/2q2ppP/3pbb2/p3p1BP/1p2P3/3B1P2/PPPQ4/1K4RR b - - 2 24,197
1r3r1k/4qppP/3pbb2/p3p1BP/1p2P3/3B1P2/PPPQ4/1K4RR w - - 3 25,194
1r3r1k/4qppP/3pbb2/p3p1BP/1p2P3/3B1PR1/PPPQ4/1K5R b - - 4 25,141
1r3r1k/4qppP/3pb3/p3p1bP/1p2P3/3B1PR1/PPPQ4/1K5R w - - 0 26,159
1r3r1k/4qppP/3pb3/p3p1RP/1p2P3/3B1P2/PPPQ4/1K5R b - - 0 26,180
1r3r1k/5ppP/3pbq2/p3p1RP/1p2P3/3B1P2/PPPQ4/1K5R w - - 1 27,263
1r3r1k/5ppP/3pbq2/p3p1RP/1p2P3/3B1P2/PPPQ4/1K4R1 b - - 2 27,281
1r3r1k/5ppP/3pb3/p3p1RP/1p2P3/3B1q2/PPPQ4/1K4R1 w - - 0 28,367
1r3r1k/5pRP/3pb3/p3p2P/1p2P3/3B1q2/PPPQ4/1K4R1 b - - 0 28,320
1r3r1k/5pRP/3pbq2/p3p2P/1p2P3/3B4/PPPQ4/1K4R1 w - - 1 29,376
1r3r1k/5pRP/3pbq1P/p3p3/1p2P3/3B4/PPPQ4/1K4R1 b - - 0 29,420
1r3r1k/5pRP/3pbq1P/4p3/pp2P3/3B4/PPPQ4/1K4R1 w - - 0 30,420
1r3r1k/5pRP/3pbq1P/4p3/pp2P3/1P1B4/P1PQ4/1K4R1 b - - 0 30,369
1r3r1k/5pRP/3pbq1P/4p3/1p2P3/1p1B4/P1PQ4/1K4R1 w - - 0 31,383
1r3r1k/5pRP/3pbq1P/4p3/1p2P3/1P1B4/2PQ4/1K4R1 b - - 0 31,437
1r1r3k/5pRP/3pbq1P/4p3/1p2P3/1P1B4/2PQ4/1K4R1 w - - 1 32,532
1r1r3k/5pRP/3pbq1P/4p3/1p2P3/1P1B4/2P3Q1/1K4R1 b - - 2 32,557
1r3r1k/5pRP/3pbq1P/4p3/1p2P3/1P1B4/2P3Q1/1K4R1 w - - 3 33,552
1r3rRk/5p1P/3pbq1P/4p3/1p2P3/1P1B4/2P3Q1/1K4R1 b - - 4 33,653
1r3rR1/5p1k/3pbq1P/4p3/1p2P3/1P1B4/2P3Q1/1K4R1 w - - 0 34,721
1r3r2/5pRk/3pbq1P/4p3/1p2P3/1P1B4/2P3Q1/1K4R1 b - - 1 34,725
1r3r1k/5pR1/3pbq1P/4p3/1p2P3/1P1B4/2P3Q1/1K4R1 w - - 2 35,771
1r3r1k/5pRP/3pbq2/4p3/1p2P3/1P1B4/2P3Q1/1K4R1 b - - 0 35,771
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,14
rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,15
rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 0 2,13
rnbqkb1r/ppp1pppp/5n2/3p4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 1 3,16
rnbqkb1r/ppp1pppp/5n2/3p4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 2 3,17
rnbqkb1r/ppp2ppp/4pn2/3p4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 0 4,29
rnbqkb1r/ppp2ppp/4pn2/3p4/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq - 1 4,22
rnbqk2r/ppp1bppp/4pn2/3p4/8/5NP1/PPPPPPBP/RNBQ1RK1 w kq - 2 5,31
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/5NP1/PP1PPPBP/RNBQ1RK1 b kq - 0 5,35
rnbqk2r/ppp1bppp/4pn2/8/2p5/5NP1/PP1PPPBP/RNBQ1RK1 w kq - 0 6,34
rnbqk2r/ppp1bppp/4pn2/8/2p5/N4NP1/PP1PPPBP/R1BQ1RK1 b kq - 1 6,43
rnbq1rk1/ppp1bppp/4pn2/8/2p5/N4NP1/PP1PPPBP/R1BQ1RK1 w - - 2 7,50
rnbq1rk1/ppp1bppp/4pn2/8/2N5/5NP1/PP1PPPBP/R1BQ1RK1 b - - 0 7,53
rnbq1rk1/1pp1bppp/p3pn2/8/2N5/5NP1/PP1PPPBP/R1BQ1RK1 w - - 0 8,81
rnbq1rk1/1pp1bppp/p3pn2/8/2NP4/5NP1/PP2PPBP/R1BQ1RK1 b - - 0 8,85
rnbq1rk1/2p1bppp/p3pn2/1p6/2NP4/5NP1/PP2PPBP/R1BQ1RK1 w - - 0 9,162
rnbq1rk1/2p1bppp/p3pn2/1p2N3/2NP4/6P1/PP2PPBP/R1BQ1RK1 b - - 1 9,107
rnbq1rk1/2p1bppp/p3p3/1p1nN3/2NP4/6P1/PP2PPBP/R1BQ1RK1 w - - 2 10,120
rnbq1rk1/2p1bppp/p3p3/Np1nN3/3P4/6P1/PP2PPBP/R1BQ1RK1 b - - 3 10,117
rnbq1rk1/4bppp/p3p3/NppnN3/3P4/6P1/PP2PPBP/R1BQ1RK1 w - - 0 11,110
rnbq1rk1/4bppp/p1N1p3/1ppnN3/3P4/6P1/PP2PPBP/R1BQ1RK1 b - - 1 11,111
r1bq1rk1/4bppp/p1n1p3/1ppnN3/3P4/6P1/PP2PPBP/R1BQ1RK1 w - - 0 12,105
r1bq1rk1/4bppp/p1N1p3/1ppn4/3P4/6P1/PP2PPBP/R1BQ1RK1 b - - 0 12,101
r1b2rk1/2q1bppp/p1N1p3/1ppn4/3P4/6P1/PP2PPBP/R1BQ1RK1 w - - 1 13,104
r1b2rk1/2q1Nppp/p3p3/1ppn4/3P4/6P1/PP2PPBP/R1BQ1RK1 b - - 0 13,115
r1b2rk1/4qppp/p3p3/1ppn4/3P4/6P1/PP2PPBP/R1BQ1RK1 w - - 0 14,95
r1b2rk1/4qppp/p3p3/1ppn4/3PP3/6P1/PP3PBP/R1BQ1RK1 b - - 0 14,85
r1b2rk1/4qppp/pn2p3/1pp5/3PP3/6P1/PP3PBP/R1BQ1RK1 w - - 1 15,257
