fen,evaluation
r4rk1/1b1q1pbn/p2p1np1/1p1Pp2p/PPp1P3/R1P1BNNP/R1BQ1PP1/6K1 b - - 7 24,109
r1r3k1/1b1q1pbn/p2p1np1/1p1Pp2p/PPp1P3/R1P1BNNP/R1BQ1PP1/6K1 w - - 8 25,104
r1r3k1/1b1q1pbn/p2p1np1/1p1Pp2p/PPp1P3/R1P1BNNP/R1B2PP1/2Q3K1 b - - 9 25,113
r1r2bk1/1b1q1p1n/p2p1np1/1p1Pp2p/PPp1P3/R1P1BNNP/R1B2PP1/2Q3K1 w - - 10 26,88
r1r2bk1/1b1q1p1n/p2p1np1/1p1Pp2p/PPp1P3/R1P1BNNP/R1B2PP1/Q5K1 b - - 11 26,90
r1r1qbk1/1b3p1n/p2p1np1/1p1Pp2p/PPp1P3/R1P1BNNP/R1B2PP1/Q5K1 w - - 12 27,98
r1r1qbk1/1b3p1n/p2p1np1/1p1Pp2p/PPp1P3/R1P1BN1P/R1B2PP1/Q4NK1 b - - 13 27,107
r1r1q1k1/1b2bp1n/p2p1np1/1p1Pp2p/PPp1P3/R1P1BN1P/R1B2PP1/Q4NK1 w - - 14 28,95
r1r1q1k1/1b2bp1n/p2p1np1/1p1Pp2p/PPp1P3/R1P1BN1P/R1BN1PP1/Q5K1 b - - 15 28,96
r1r1q3/1b2bpkn/p2p1np1/1p1Pp2p/PPp1P3/R1P1BN1P/R1BN1PP1/Q5K1 w - - 16 29,103
r1r1q3/1b2bpkn/p2p1np1/1p1Pp2p/PPp1P3/R1P1BN1P/R1B2PP1/QN4K1 b - - 17 29,105
r1r1q3/1b2bpkn/p2p2p1/1p1Pp2p/PPp1n3/R1P1BN1P/R1B2PP1/QN4K1 w - - 0 30,175
r1r1q3/1b2bpkn/p2p2p1/1p1Pp2p/PPp1B3/R1P1BN1P/R4PP1/QN4K1 b - - 0 30,165
r1r1q3/1b2b1kn/p2p2p1/1p1Ppp1p/PPp1B3/R1P1BN1P/R4PP1/QN4K1 w - - 0 31,163
r1r1q3/1b2b1kn/p2p2p1/1p1Ppp1p/PPp5/R1P1BN1P/R1B2PP1/QN4K1 b - - 1 31,178
r1r1q3/4b1kn/p2p2p1/1p1bpp1p/PPp5/R1P1BN1P/R1B2PP1/QN4K1 w - - 0 32,168
r1r1q3/4b1kn/p2p2p1/1P1bpp1p/1Pp5/R1P1BN1P/R1B2PP1/QN4K1 b - - 0 32,141
r1r1q3/4b1kn/3p2p1/1p1bpp1p/1Pp5/R1P1BN1P/R1B2PP1/QN4K1 w - - 0 33,163
r1r1q3/R3b1kn/3p2p1/1p1bpp1p/1Pp5/2P1BN1P/R1B2PP1/QN4K1 b - - 1 33,144
r1r1q3/R3b2n/3p1kp1/1p1bpp1p/1Pp5/2P1BN1P/R1B2PP1/QN4K1 w - - 2 34,185
r1r1q3/R3b2n/3p1kp1/1p1bpp1p/1Pp5/2P1BN1P/R1BN1PP1/Q5K1 b - - 3 34,153
2r1q3/r3b2n/3p1kp1/1p1bpp1p/1Pp5/2P1BN1P/R1BN1PP1/Q5K1 w - - 0 35,154
2r1q3/R3b2n/3p1kp1/1p1bpp1p/1Pp5/2P1BN1P/2BN1PP1/Q5K1 b - - 0 35,155
r3q3/R3b2n/3p1kp1/1p1bpp1p/1Pp5/2P1BN1P/2BN1PP1/Q5K1 w - - 1 36,163
r3q3/R3b2n/3p1kp1/1p1bpp1p/1Pp3P1/2P1BN1P/2BN1P2/Q5K1 b - - 0 36,171
r3q3/R3b2n/3p1kp1/1p1bpp2/1Pp3p1/2P1BN1P/2BN1P2/Q5K1 w - - 0 37,184
r3q3/R3b2n/3p1kp1/1p1bpp2/1Pp3P1/2P1BN2/2BN1P2/Q5K1 b - - 0 37,166
4q3/r3b2n/3p1kp1/1p1bpp2/1Pp3P1/2P1BN2/2BN1P2/Q5K1 w - - 0 38,199
4q3/Q3b2n/3p1kp1/1p1bpp2/1Pp3P1/2P1BN2/2BN1P2/6K1 b - - 0 38,180
4q3/Q3b2n/3p1kp1/1p1bp3/1Pp2pP1/2P1BN2/2BN1P2/6K1 w - - 0 39,144
4q3/Q3b2n/3p1kp1/1p1bp3/1Pp2BP1/2P2N2/2BN1P2/6K1 b - - 0 39,155
4q3/Q3b2n/3p1kp1/1p1b4/1Pp2pP1/2P2N2/2BN1P2/6K1 w - - 0 40,146
